Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Examen de Egreso de Licenciatura UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,20.0,1.0,0.0,Nivel 4.1,1.0,0,-1.0242921703723367
Constancia Escolar UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,1440.0,3.0,0.0,Nivel 3.7,1.0,0,-0.43060859721773925
Equivalencia de Estudios UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,3.0,0.0,Nivel 3.7,1.0,0,-0.7304719781635306
Certificación UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,45.0,2.0,0.0,Nivel 3.7,1.0,0,-0.6610016888988243
Credencial Escolar UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,1.0,0.0,Nivel 3.7,1.0,0,-0.8258948982772827
Examen Toefl UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,20.0,1.0,0.0,Nivel 4.1,1.0,0,-1.0242921703723367
Examen de Competencia Profesional UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,20.0,1.0,0.0,Nivel 4.1,1.0,0,-1.0242921703723367
Examen Extraordinario UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,20.0,1.0,0.0,Nivel 4.1,1.0,0,-1.0242921703723367
Recurso de Revocación Estatal,Secretaría de Hacienda,Secretaría de Hacienda,129600.0,3.0,0.0,Nivel 4.2,0.0,0,-0.7164336223830445
Historial Académico UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,70.0,1.0,0.0,Nivel 3.7,1.0,0,-0.7216288215893374
Titulación Nivel Licenciatura/Ingeniería y Posgrado UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,40.0,7.0,4.0,Nivel 3.9,1.0,0,0.37958165033135594
Recurso de Revocación Federal,Secretaría de Hacienda,Secretaría de Hacienda,129600.0,3.0,0.0,,0.0,1,0.23775564373803776
Curso Propedéutico UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,20.0,2.0,0.0,Nivel 1,1.0,2,-0.12147833277151471
Copias de documentos que obren en la Procuraduría Fiscal del Estado.,Secretaría de Hacienda,Secretaría de Hacienda,4320.0,1.0,1.0,,1.0,2,0.297019216375661
Certificado Parcial UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2008696612639812
Reposición de credencial UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,5.0,1.0,0.0,Nivel 1,1.0,2,-0.31733214990621883
Curso semipresencial ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,2880.0,1.0,0.0,Nivel 1,1.0,2,0.11670194437952931
Exámenes Generales de Egreso de la Licenciatura (EGEL) ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,300.0,1.0,0.0,Nivel 1,1.0,2,0.21972124142440086
Congresos - Simposios ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,4320.0,1.0,0.0,Nivel 1,1.0,2,0.21729550070986337
Servicios Tecnológicos tipo I (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,47520.0,0.0,0.0,,1.0,2,0.4453095151127022
Asesoría Técnica ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,14400.0,1.0,1.0,Nivel 1,1.0,2,0.3201265645939355
Dictamen de equivalencia ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,15840.0,4.0,1.0,Nivel 1,1.0,2,0.6130082024136342
"Curso de extensión, actualización o educación continua ITESHU.",Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,4320.0,1.0,1.0,Nivel 1,1.0,2,0.22362004205865466
Evaluación de segunda oportunidad ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,360.0,1.0,0.0,Nivel 1,1.0,2,0.23429310615472293
Titulación ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,85.0,8.0,1.0,Nivel 1,1.0,2,0.38230546995204995
Capacitación y Certificación a entrenadores Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,3.0,0.0,Nivel 1,1.0,2,-0.1733168272390962
Reposición de Credencial UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,2.0,0.0,Nivel 4.3,1.0,0,-0.742064401627801
Inscripción (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Registro de Admisión (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,1440.0,2.0,2.0,Nivel 1,1.0,2,0.5606587761968518
"Componente Rehabilitación, Modernización y Tecnificación de Distritos de Riego.",Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,3.0,1.0,Nivel 2,0.0,1,-0.20259487024698225
Componente Equipamiento de Distritos de Riego.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,3.0,1.0,Nivel 2,0.0,1,-0.20259487024698225
"Componente Rehabilitación, Modernización, Tecnificación, Equipamiento de Unidades de Riego y Proyectos Productivos en Zonas de Atención Prioritaria.",Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,14400.0,5.0,1.0,Nivel 2,0.0,1,-0.01277642696027198
Certificación de copias de documentos históricos,Oficialía Mayor,Oficialía Mayor,1440.0,0.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Acuerdo de autorización por cambio de domicilio,Secretaría de Educación Pública,Secretaría de Educación Pública,259200.0,2.0,1.0,Nivel 1,1.0,2,0.7709937707494505
Duplicado de certificado de estudios UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,30240.0,1.0,0.0,Nivel 1,1.0,2,0.3356767795322356
Expedición de Certificado de Estudios UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,2.0,0.0,Nivel 4.3,1.0,0,-0.742064401627801
Historial Académico UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,1440.0,0.0,1.0,Nivel 1,0.0,1,-0.4772587620843129
Curso de Lengua Extranjera a Público en General y Personal Docente y Administrativo UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,3.0,1.0,Nivel 1,1.0,2,0.21844940584207273
Reposición de Credencial Escolar UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,15.0,2.0,0.0,Nivel 1,1.0,2,-0.14327858362747986
Becas UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,8.0,1.0,1.0,Nivel 4.1,0.0,0,-1.6306385755902764
Aclaración de resultados de exámenes de Preparatoria Abierta por omisión y/o revisión administrativa,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,15.0,1.0,1.0,Nivel 1,0.0,1,-0.7771221430301043
Registro de Equivalencias Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,20.0,3.0,1.0,Nivel 1,0.0,1,-0.659898972060387
Titulación UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,172800.0,7.0,0.0,Nivel 2,1.0,2,1.0583930130214982
Constancia de Estudios COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,2880.0,0.0,0.0,Nivel 1,1.0,2,0.11670194437952931
Certificado de Estudios COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,30240.0,0.0,0.0,Nivel 1,1.0,2,0.3356767795322356
Equivalencia de Estudios COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,17280.0,1.0,0.0,Nivel 1,1.0,2,0.32841736200824057
Seguro Escolar COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,5.0,0.0,0.0,Nivel 1,1.0,2,-0.31733214990621883
Historial académico UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,2.0,1.0,0.0,Nivel 4.3,0.0,0,-1.5201030921111065
Equivalencias de estudios UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,30240.0,3.0,0.0,Nivel 1,0.0,1,-0.11364548099167582
Alimentación Escolar Modalidad Fría,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,1.0,,0.0,1,-0.3084366676535545
Alimentación Escolar Modalidad Caliente,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
"Atención Alimentaria a Grupos Prioritarios, Personas Mayores",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Atención Alimentaria en los Primeros 1000 Días,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,1.0,Nivel 1,0.0,1,-0.38183584197056075
Atención Alimentaria a Personas en Situación de Emergencia o Desastre,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
"Atención Alimentaria a Grupos Prioritarios, Personas con Discapacidad",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.48358330343310424
Atención Psicológica a Mujeres en Situación de Violencia de Género,Secretaría de Gobierno,Ciudad de las Mujeres,60.0,0.0,0.0,,0.0,1,-0.6179513445454237
Admisión ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,27.0,4.0,0.0,Nivel 1,1.0,2,0.07621203622375534
Servicios de Sensibilización y desarrollo de habilidades para la vida de las juventudes,Secretaría de Gobierno,Ciudad de las Mujeres,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Aviso de Actualización de Datos o Baja del Establecimiento de Insumos para la Salud que Opera con Licencia Sanitaria.,Secretaría de Salud,Secretaría de Salud,20.0,0.0,0.0,Nivel 1,0.0,1,-0.7616464335229305
Aviso de Actualización de Datos para Servicios Urbanos de Fumigación y Control de Plagas Urbanas del Establecimiento que Opera con Licencia Sanitaria.,Secretaría de Salud,Secretaría de Salud,0.0,0.0,0.0,Nivel 1,0.0,1,-0.6539868457103444
Aviso de Funcionamiento de Crematorio,Secretaría de Salud,Secretaría de Salud,21600.0,7.0,1.0,Nivel 1,0.0,1,0.26533391124882727
Aviso de Funcionamiento de Panteón.,Secretaría de Salud,Secretaría de Salud,21600.0,6.0,1.0,Nivel 1,0.0,1,0.05552442014919262
Licencia Sanitaria de Unidades Móviles para Traslado de Cadáveres,Secretaría de Salud,Secretaría de Salud,21600.0,3.0,0.0,Nivel 1,0.0,1,-0.14061856448630894
Solicitud de Modificación a la Licencia Sanitaria de Establecimientos de Insumos para la Salud Modalidad G.- Farmacia o Botica (con venta de medicamentos controlados),Secretaría de Salud,Secretaría de Salud,86400.0,2.0,0.0,Nivel 1,1.0,2,0.5152596098944147
Solicitud de Modificación a la Licencia Sanitaria para Servicios Urbanos de Fumigación y Control de plagas.,Secretaría de Salud,Secretaría de Salud,86400.0,3.0,0.0,Nivel 1,1.0,2,0.5152596098944147
Credencial Escolar y duplicado COBAEH,Secretaría de Educación Pública,Colegio de Bachilleres del Estado de Hidalgo,31680.0,0.0,0.0,Nivel 1,1.0,2,0.33940605319506395
Asesoría para el Desarrollo de Productos y la Comercialización en Agronegocios.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,2.0,1.0,Nivel 2,0.0,1,-0.4552350162875671
Asesoría para el trámite de la membresía GS1 para la trazabilidad en productos agropecuarios,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,3.0,4.0,Nivel 2,0.0,1,0.33541901833425997
Asesoría presencial y a distancia para la Constitución de Sociedades Agropecuarias y Pesqueras.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,2.0,0.0,Nivel 2,0.0,1,-0.4615595576363584
Asistencia Técnica y Capacitación Pecuaria.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,7200.0,1.0,1.0,Nivel 2,0.0,1,-0.35358011238031756
Siembra de Crías de Peces.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,43200.0,0.0,1.0,Nivel 2,0.0,1,-0.247550084604976
Clínica Universitaria de Rehabilitación Integral (C.U.R.e.I.) Servicios de Terapia Física UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,1440.0,3.0,0.0,Nivel 3.7,1.0,0,-0.43060859721773925
Inscripción al Catálogo de Empresas del Sector Energético del Estado de Hidalgo.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,25920.0,3.0,1.0,Nivel 1,1.0,2,0.42506680551869247
"Reinscripción: 2°,3°,4°,5° y 6° Semestre Bachillerato del Estado de Hidalgo",Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2008696612639812
Titulación UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,367200.0,4.0,1.0,Nivel 3.2,1.0,0,0.768537483076582
Opinión de Cumplimiento de Obligaciones Fiscales Estatales,Secretaría de Hacienda,Secretaría de Hacienda,4320.0,0.0,0.0,,1.0,2,0.29069467502686963
Reposición de certificado o constancia del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2008696612639812
Tienda en línea Margarita Michelena.,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,2880.0,0.0,0.0,Nivel 1,1.0,2,0.11670194437952931
Cesión de Derechos - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,3.0,1.0,,1.0,2,-0.02572302548443145
Órdenes de escrituración - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,2,0.16409541780227876
Constancia escolar UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,1.0,2,0.06116187720455936
"Asesoría técnica, especializada en agricultura sustentable.",Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,0.0,Nivel 2,0.0,1,-0.5569824777501106
Credencialización UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,60.0,1.0,0.0,Nivel 1,1.0,2,-0.1466053382247664
Garantias del Interes Fiscal (Federal),Secretaría de Hacienda,Secretaría de Hacienda,129600.0,0.0,1.0,,0.0,1,0.14865726497307702
Garantias del Interes Fiscal (Estatal),Secretaría de Hacienda,Secretaría de Hacienda,129600.0,0.0,1.0,,0.0,1,0.14865726497307702
Remates en línea,Secretaría de Hacienda,Secretaría de Hacienda,43200.0,0.0,0.0,,0.0,1,-0.10707627731975472
Historial Académico UNIDEH,Secretaría de Educación Pública,Universidad Digital del Estado de Hidalgo,1440.0,1.0,0.0,,1.0,2,0.13456105152156567
Dictamen de Equivalencia (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,86400.0,3.0,1.0,,1.0,2,0.5949833255602124
Préstamo con maquinaria especializada para la nivelación de tierras agrícolas.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,1.0,Nivel 2,0.0,1,-0.5506579364013192
Publicaciones e impresiones (Materia Catastral Compendio Catastral),Secretaría de Hacienda,Instituto Catastral,4320.0,1.0,0.0,,1.0,2,0.29069467502686963
Refrendo anual perito topográfo,Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,2.0,,1.0,2,1.114214486033954
Becas para la Transformación de Estudiantes de Instituciones de Educación Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,11.0,3.0,Nivel 4.1,0.0,0,0.3749309524432159
Copia de Ortofoto a color escala 1:1000,Secretaría de Hacienda,Instituto Catastral,4320.0,2.0,1.0,,1.0,2,0.39244213648941306
Autorización de Centro de Asesoría Particular de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,21600.0,9.0,0.0,Nivel 1,1.0,2,0.8037545505376995
Admisión UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,Nivel 3.9,1.0,0,-0.672829865965504
Constancia Escolar UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,480.0,1.0,0.0,Nivel 1,1.0,2,0.25730032678752424
Certificado Parcial UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,21600.0,2.0,0.0,Nivel 3.9,1.0,0,-0.3298651270187087
Cursos de Educación Continua UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,Nivel 3.9,1.0,0,-0.672829865965504
Titulación en la UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,518400.0,8.0,0.0,Nivel 1,1.0,2,1.2198648977717563
Examen TOEFL UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,,1.0,2,0.13456105152156567
Asesoría Jurídica en Derechos Humanos,Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,,0.0,1,-0.26460651707585064
Escrituras Públicas para personas que han tenido en posesión un predio,Secretaría de Gobierno,Secretaría de Gobierno,345600.0,5.0,0.0,Nivel 1,0.0,1,0.43280517226445275
Modificación de Tipo de Perito en el Padrón,Secretaría de Hacienda,Instituto Catastral,4320.0,3.0,1.0,,1.0,2,0.39244213648941306
Atención al empoderamiento.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,30.0,0.0,0.0,,0.0,1,-0.6722156675846385
Uso de la Plataforma Naturalista,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 1,0.0,1,-0.4772587620843129
Credencial de Identificación Escolar (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,7200.0,0.0,2.0,Nivel 1,1.0,2,0.6623136801041013
Becas Institucionales UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,11520.0,0.0,3.0,Nivel 2,0.0,1,0.3609377078471942
Transformando con la Juventud,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,3.0,1.0,Nivel 3.2,0.0,1,-0.901896745867371
Tu Experiencia Transforma,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,3.0,1.0,Nivel 3.2,0.0,1,-0.901896745867371
Acompañamiento a los municipios para la implementación de estrategias que impulsen el desarrollo económico local,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,21600.0,0.0,1.0,Nivel 1,0.0,1,-0.22971694325126973
"Expedición, Renovación o Reposición por Robo o Extravío del Tarjetón para Personas que Conducen Unidades Autorizadas por el Sistema de Transporte Convencional",Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,23.0,7.0,1.0,Nivel 2,1.0,2,0.22177984888253457
"Suministro e instalación de mojonera de hormigon de 40 cms. de largo y 10 cms. de diametro con una varilla al centro de 1/2"", para identificación de vertices que delimitan perimetrales de predio",Secretaría de Hacienda,Instituto Catastral,4320.0,4.0,1.0,,1.0,2,0.5822605797761233
Equivalencia de Estudios UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,43200.0,3.0,0.0,Nivel 3.9,1.0,0,-0.27429909405540864
Actualización del Registro de Proveedores (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,2,0.13456105152156567
Gestión de Créditos,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,2.0,0.0,Nivel 2,0.0,1,-0.4615595576363584
Asignación de Servicio Social UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,30.0,3.0,1.0,Nivel 2,0.0,1,-0.7172665547561077
Asesoría Legal En Materia Notarial,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
"Inscripción de la designación, aceptación o discernimiento del cargo de albacea. Declaración y reconocimiento de herederos en un solo documento.",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.4838503318171523
Expedición de constancias de documentos que obran en la Dirección General de Profesiones,Secretaría de Educación Pública,Secretaría de Educación Pública,4320.0,1.0,1.0,Nivel 1,1.0,2,0.22362004205865466
Verificación energética en centros de carga eléctrica con tarifa comercial hasta 25 kW.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,28800.0,3.0,1.0,Nivel 1,1.0,2,0.43351298720949855
Verificación energética en centros de carga eléctrica con tarifa de uso domestico (DAC),Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,28800.0,0.0,1.0,Nivel 1,1.0,2,0.33809006709574646
Inscripción Nivel Posgrado UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,6.0,1.0,Nivel 3.9,1.0,0,-0.3812639612162503
Ayudas Comunitarias a Mujeres y Familias Indígenas,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,2.0,1.0,,0.0,1,-0.3084366676535545
Eco Estufas del Bienestar,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),10.0,2.0,1.0,Nivel 2,0.0,1,-0.7851366408449747
Mujer de Maíz,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),5760.0,2.0,1.0,Nivel 2,0.0,1,-0.2760432736301467
Seguridad Alimentaria,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),10.0,1.0,1.0,Nivel 2,0.0,1,-0.8805595609587269
Remodelación de Parques en Comunidades Indígenas,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,3.0,1.0,,0.0,1,-0.3084366676535545
Revalidación de Estudios Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2008696612639812
Corredor Artesanal,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,4.0,1.0,,0.0,1,-0.11861822436684427
Impuesto sobre Tenencia y Refrendo Vehicular (transporte público),Secretaría de Hacienda,Secretaría de Hacienda,1440.0,8.0,3.0,Nivel 3.7,1.0,0,0.6521868495599402
Constancia de estudios UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,4320.0,0.0,0.0,Nivel 3.1,1.0,2,0.07049715207585064
Asesoría en Materia de Mantenimiento y Conservación de Parques Industriales,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
"Inscripción de la disolución, liquidación y de ambas cuando consten en un solo documento. (Registro Público de la Propiedad y del Comercio, personas morales)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.4838503318171523
Acciones en materia de transversalidad de la perspectiva de género,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,0.0,1.0,Nivel 1,0.0,1,-0.32112513857900893
Acciones en materia de protección de los derechos humanos de las mujeres,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,0.0,0.0,Nivel 1,0.0,1,-0.3274496799278002
Apoyos asistenciales otorgados a mujeres,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,3.0,1.0,Nivel 1,0.0,1,-0.2257022184652568
Apoyos económicos para el bienestar físico de las mujeres,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,1440.0,4.0,1.0,Nivel 1,0.0,1,-0.19201739868385054
"Apoyos económicos para niñas y adolescentes embarazadas, madres o con plan de restitución de derechos",Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,3.0,2.0,Nivel 1,0.0,1,0.17204721906449222
Levantamiento topográfico.,Secretaría de Educación Pública,Instituto Hidalguense de Infraestructura Física Educativa,21600.0,1.0,1.0,Nivel 1,1.0,2,0.31502823738639385
Constancia de estudios UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,0.0,0.0,,1.0,2,0.13456105152156567
Constancia de Estudios UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,2,0.13456105152156567
Verificación energética en centros de carga eléctrica con tarifa empresarial menor a 100 kW.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,28800.0,3.0,1.0,Nivel 1,1.0,2,0.43351298720949855
"Talleres, Pláticas y Conferencias sobre Habilidades de vida para Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,,0.0,1,-0.31476120900234583
Pago de multa por incomparecencia del patrón en el procedimiento de conciliación,Secretaría de Trabajo y Previsión Social,Centro de Conciliación Laboral del Estado de Hidalgo,1440.0,0.0,0.0,,1.0,2,0.13456105152156567
"Por cada foja digitalizada, archivo informático y disco óptico que se utilice para entregar los documentos a que se refieren las fracciones I a III",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,,1.0,2,0.38842741170340017
Certificado de Estudios UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,2880.0,1.0,0.0,Nivel 2,1.0,2,0.043302770062523005
Constancia de Estudios UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,180.0,1.0,0.0,Nivel 3.7,1.0,0,-0.40824641333485856
Reposición de la Credencial de la UPMH por pérdida,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,4320.0,1.0,0.0,Nivel 3.7,1.0,0,-0.3698978938261873
Reposición de credencial ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,1440.0,1.0,0.0,Nivel 1,1.0,2,0.06116187720455936
Publicación de Artículo en Congreso ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,125280.0,3.0,0.0,Nivel 1,1.0,2,0.7063838681563661
Inspección Vehicular para Unidades Autorizadas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,4.0,1.0,Nivel 2,1.0,2,0.01729706916826615
Quejas administrativas en contra de las y los Notarios Públicos durante el ejercicio de su función,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
