Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Asesoria en materia de Seguridad y Salud en el Trabajo,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,1.0,,0.0,1,0.20422484431504112
Autorregulación Ambiental,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,36000.0,4.0,2.0,,1.0,2,1.112368350164556
Póliza de Accidentes Personales Escolares en CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,2.0,0.0,Nivel 1,1.0,2,0.15658479731831149
Historial académico UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,0.0,0.0,Nivel 4.2,0.0,0,-1.3643733952371802
Asesorías laborales sobre tus derechos y obligaciones como trabajador.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,259200.0,0.0,0.0,,0.0,1,0.19790030296624989
Escuela de Fútbol Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,4.0,1.0,Nivel 2,1.0,2,-0.05057301692060093
Servicio de inscripción a cursos de Formación de Capital Humano,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,1440.0,0.0,0.0,,0.0,1,-0.4101841291160979
Constancia de Vehículo No Robado,Procuraduría General de Justicia,Procuraduría General de Justicia,4320.0,7.0,1.0,Nivel 3.1,1.0,2,0.571872547924739
Permiso provisional para conducir,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,15.0,4.0,1.0,Nivel 1,1.0,2,0.052864401008021714
Reinscripción UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,2,0.13456105152156567
"Descuento a adultos mayores, personas con capacidades diferentes, pensionados y jubilados.",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,1440.0,0.0,1.0,,1.0,2,0.14088559287035698
Examen de admisión de CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,1440.0,5.0,0.0,Nivel 1,1.0,2,0.34640324060502176
"Publicaciones en el Periódico Oficial, que se realizan por una Plana y Media Plana.",Secretaría de Gobierno,Secretaría de Gobierno,30.0,0.0,0.0,Nivel 1,1.0,2,-0.2008696612639812
Inscripción UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,20.0,2.0,2.0,Nivel 1,1.0,2,0.28259564610702564
Expedición Tarjeta Preferente Tuzobús para la Persona Adulta Mayor,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,3.0,1.0,Nivel 1,1.0,2,-0.11515379142272336
Admisión UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,15.0,2.0,0.0,Nivel 3.7,1.0,0,-0.7304719781635306
Reposición de la Tarjeta Preferente Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,20.0,2.0,1.0,Nivel 1,1.0,2,-0.11515379142272336
Por la Expedición de Copias Certificadas de Escrituras Resguardadas en el Archivo General de Notarías,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,2,0.14088559287035698
Cursos musicales EMEH,Secretaría de Cultura,Escuela de Música del Estado de Hidalgo,1440.0,1.0,0.0,,1.0,2,0.13456105152156567
Inscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,10.0,3.0,2.0,Nivel 4.1,1.0,0,-0.5766337658476254
Titulación UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,259200.0,6.0,1.0,Nivel 1,1.0,2,0.9608122140361608
