Idtram,Tramite,Secretaria,Dependencia,Domicilio,TraPersona,Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,nivel_digitalizacion,TraResolucionesFavorables,TraResolucionesNegativas,Porcentaje_Efectividad,TraCosto,visitas_totales,Visitas RUTS,Indice_Esfuerzo_A
1554.0,Revalidación de Estudios de Educación Básica,Secretaría de Educación Pública,Instituto Hidalguense de Educación,Boulevard s/n Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,2880.0,1,3,2,240,0,100.0,1,584.0,1218.0,-0.4185908625947968
1462.0,Escuelas de Iniciación Técnico Deportivas del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle 104 Carlos Rovirosa 42082 Pachuca De Soto Pachuca De Soto,Social,10.0,1,3,2,1850,60,96.85863874,1,9420.0,4372.0,-0.40606445366038457
8137.0,Credencial Escolar UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,Calle 34 La Tahona 42350 Zimapán Zimapán,Social,1440.0,0,1,1,233,0,100.0,1,114.0,92.0,-1.4386737683259105
1781.0,Captación de Leche en Centros de Acopio.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,"Carretera S/N Venta Prieta, Ex Centro Minero 42080 Pachuca De Soto Pachuca De Soto",Ambos,1440.0,1,0,2,221,0,100.0,0,772.0,315.0,-0.4865142441190952
1264.0,"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,22864.51619047619,0,0,1,208,8,96.2962963,1,1952.0,255.0,-1.5494651644798785
11334.0,"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,22864.51619047619,0,0,1,208,8,96.2962963,1,2871.0670103092784,255.0,-1.5494651644798785
981.0,Constancias de estudios con calificaciones de Primaria General,Secretaría de Educación Pública,Instituto Hidalguense de Educación,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,Social,45.0,1,1,2,3006,0,100.0,0,4140.0,2312.0,-0.4631437227248264
1580.0,Solicitud de Fichas de Ingreso UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,Carretera S/N Ejido de Zaragoza 42820 San Miguel Vindho Tula De Allende,Social,2880.0,1,3,1,195,0,100.0,1,507.0,1565.0,-1.412763813872067
7072.0,Capacitación,Secretaría de Hacienda,Instituto Catastral,Calle 105 Real de Minas 42090 Pachuca De Soto Pachuca De Soto,Social,172800.0,1,1,1,0,0,0.0,1,889.0,3305.4179357022,-2.1889608584753524
549.0,Solicitud de factibilidad para la contratación del servicio de agua potable.,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,Social,22864.51619047619,1,3,1,170,16,91.39784946,1,1418.0,36.0,-1.4999882815230385
8709.0,Cédula de Validación Estatal Impulso NAFIN-Hidalgo,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,Calle 305 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,Empresarial,15.0,1,1,3,171,0,100.0,0,166.0,562.0,0.5311601666249286
