Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,TraCosto,nivel_digitalizacion
0.8126603577255426,0.0,2.5,0.0,6.0
0.7572465540357017,0.0,0.5,0.0,6.0
0.7572465540357017,0.0,0.0,0.0,6.0
0.7572465540357017,0.0,-0.5,0.0,6.0
11.1693866720266,-1.0,-1.0,-1.0,0.0
22.528084982562127,-1.0,-0.5,-1.0,0.0
0.8126603577255426,-1.0,-0.5,-1.0,0.0
22.528084982562127,-1.0,-0.5,-1.0,0.0
11.1693866720266,0.0,-1.0,-1.0,0.0
3.5969211316695833,0.0,1.5,0.0,1.0
-0.1262077590059503,0.0,0.5,0.0,0.0
-0.18668231019630147,0.0,-1.0,-1.0,0.0
0.8126603577255426,0.0,0.0,0.0,6.0
-0.1884351957380508,0.0,-1.0,0.0,0.0
0.8126603577255426,0.0,0.0,0.0,0.0
0.8126603577255426,0.0,0.0,0.0,0.0
-0.18847901787659452,-1.0,0.0,0.0,0.0
-0.1262077590059503,-1.0,0.5,-1.0,0.0
0.8126603577255426,0.0,0.0,0.0,0.0
0.1262077590059503,0.0,1.5,0.0,11.0
0.1262077590059503,0.0,1.5,0.0,11.0
-0.18922399423183797,-1.0,-0.5,-1.0,0.0
-0.06310387950297515,0.0,2.5,0.0,1.0
-0.18668231019630147,4.0,2.5,0.0,1.0
1.703804746580329,0.0,2.0,0.0,0.0
-0.06310387950297515,0.0,-0.5,0.0,1.0
-0.1262077590059503,0.0,0.0,-1.0,11.0
0.1262077590059503,0.0,0.5,0.0,1.0
-0.18668231019630147,1.0,0.5,0.0,1.0
-0.06310387950297515,-1.0,0.5,0.0,0.0
1.703804746580329,-1.0,-1.0,0.0,0.0
1.703804746580329,-1.0,-1.0,0.0,0.0
-0.1840529818836775,-1.0,-1.0,0.0,0.0
-0.06310387950297515,0.0,0.0,-1.0,0.0
0.1262077590059503,-1.0,1.0,-1.0,0.0
3.5969211316695833,-1.0,0.0,0.0,0.0
-0.1882160850453321,-1.0,2.0,0.0,11.0
